*Forage Model Harvest Output: SPPI7902BR  DSSAT Cropping System Model Ver. 4.8.0.027   -release    FEB 01, 2024; 15:59:10

@RUN FILEX    CR TRNO FHNO YEAR DOY RCWAH RLWAH RSWAH RSRWH RRTWH RLAIH FHWAH FHNAH FHN%H FHC%H FHLGH FHL%H
   1 SPPI7902 BR    1    1 1981   7  3000   810  2190  2859  2682  1.37  7377    82  1.11  4.80  4.75  62.6
   1 SPPI7902 BR    1    2 1981  35  3000   810  2190  2698  3755  1.19  1107    14  1.30  4.43  4.35  82.4
   1 SPPI7902 BR    1    3 1981  63  3000   810  2190  2401  4204  1.10   543     8  1.45  3.17  4.21  89.6
   1 SPPI7902 BR    1    4 1981  91  3000   810  2190  2762  4326  1.15  1015    19  1.87  4.26  4.39  80.6
   1 SPPI7902 BR    1    5 1981 147  3000   810  2190  3594  3347  1.54  1875    36  1.93  3.48  4.49  75.4
   1 SPPI7902 BR    1    6 1981 203  3000   810  2190  3714  3342  1.45   892    22  2.48  3.06  4.21  89.4
   1 SPPI7902 BR    1    7 1981 259  3000   810  2190  4250  3629  1.36  1588    35  2.23  3.80  4.37  81.6
   1 SPPI7902 BR    1    8 1981 315  3000   810  2190  4131  5518  0.99  1520    22  1.42  5.07  4.49  75.6
   1 SPPI7902 BR    1    9 1981 343  3000   810  2190  4309  5748  1.16  2752    70  2.54  4.32  4.36  82.2
   1 SPPI7902 BR    1   10 1982   6  3000   810  2190  4259  7282  1.17  2428    47  1.94  4.63  4.36  81.9
   1 SPPI7902 BR    1   11 1982  34  3000   810  2190  3905  7319  1.06  1275    20  1.56  4.55  4.31  84.7
   1 SPPI7902 BR    1   12 1982  62  3000   810  2190  3844  7226  1.26  1361    24  1.74  3.94  4.30  85.1
   1 SPPI7902 BR    1   13 1982  90  3000   810  2190  4087  6924  1.36  1360    26  1.89  3.65  4.33  83.7
   1 SPPI7902 BR    1   14 1982 146  3000   810  2190  4249  6412  1.42  1499    24  1.62  3.05  4.42  79.0
   1 SPPI7902 BR    1   15 1982 202  3000   810  2190  3983  6003  1.43   536    12  2.23  2.70  4.18  91.2
   1 SPPI7902 BR    1   16 1982 258  3000   810  2190  4165  6179  1.35  1108    20  1.78  3.56  4.39  80.3
   1 SPPI7902 BR    1   17 1982 314  3000   810  2190  4088  7301  1.05  1347    20  1.46  5.78  4.52  73.9
   1 SPPI7902 BR    1   18 1982 342  3000   810  2190  4156  7374  1.19  2180    56  2.55  4.06  4.31  84.5
   1 SPPI7902 BR    1   19 1983   5  3000   810  2190  4222  7912  1.35  2928    57  1.94  4.33  4.40  80.2
   1 SPPI7902 BR    1   20 1983  33  3000   810  2190  4117  8174  1.36  2210    37  1.69  4.13  4.39  80.6
   1 SPPI7902 BR    1   21 1983  61  3000   810  2190  4027  8224  1.40  1425    25  1.75  3.58  4.32  84.0
   1 SPPI7902 BR    1   22 1983  89  3000   810  2190  4182  8209  1.31  1189    23  1.96  3.56  4.31  84.6
   1 SPPI7902 BR    1   23 1983 145  3000   810  2190  4196  7815  1.40  1235    22  1.75  2.87  4.34  82.8
   1 SPPI7902 BR    1   24 1983 201  2989   810  2179  3895  7547  1.42   126     3  2.21  2.50  4.00 100.0
   1 SPPI7902 BR    1   25 1983 257  3000   810  2190  3821  7239  1.41   523    12  2.33  2.68  4.19  90.4
   1 SPPI7902 BR    1   26 1983 313  3000   810  2190  4149  8199  1.24  2046    30  1.47  4.31  4.57  71.6
   1 SPPI7902 BR    1   27 1983 341  3000   810  2190  4140  8455  1.27  2192    47  2.13  4.13  4.37  81.4
   1 SPPI7902 BR    1   28 1984   4  3000   810  2190  3946  9095  1.27  2261    37  1.65  4.02  4.40  80.2
   1 SPPI7902 BR    1   29 1984  32  3000   810  2190  3751  9076  1.37  1902    32  1.66  3.87  4.43  78.7
   1 SPPI7902 BR    1   30 1984  60  3000   810  2190  3695  8663  1.47  1537    25  1.65  3.53  4.41  79.3
   1 SPPI7902 BR    1   31 1984  88  3000   810  2190  3860  8205  1.54  1208    24  2.00  3.46  4.36  81.9
   1 SPPI7902 BR    1   32 1984 144  3000   810  2190  3936  7573  1.62  1196    21  1.80  2.84  4.37  81.3
   1 SPPI7902 BR    1   33 1984 200  3000   810  2190  3693  7162  1.60   441    10  2.27  2.62  4.14  92.9
   1 SPPI7902 BR    1   34 1984 256  3000   810  2190  3864  6986  1.48   910    20  2.23  3.13  4.33  83.4
   1 SPPI7902 BR    1   35 1984 312  3000   810  2190  3824  7595  1.30  1746    25  1.40  3.65  4.59  70.4
   1 SPPI7902 BR    1   36 1984 340  3000   810  2190  3854  8308  1.23  1988    36  1.79  4.40  4.40  80.2
   1 SPPI7902 BR    1   37 1985   2  3000   810  2190  3667  9768  1.04  1414    20  1.43  7.23  4.47  76.5
   1 SPPI7902 BR    1   38 1985  30  3000   810  2190  3244  8263  1.06  1144    20  1.73  3.99  4.22  88.8
   1 SPPI7902 BR    1   39 1985  58  2965   810  2155  2729  5505  1.14   431     6  1.44  2.58  4.00 100.0
   1 SPPI7902 BR    1   40 1985  86  2907   810  2097  2497  3592  1.35   371     7  1.84  2.66  4.00 100.0
   1 SPPI7902 BR    1   41 1985 142  3000   810  2190  2719  3275  1.39   904    13  1.46  2.76  4.32  84.2
   1 SPPI7902 BR    1   42 1985 198  3000   810  2190  2794  3066  1.44   706    13  1.91  2.71  4.28  85.8
   1 SPPI7902 BR    1   43 1985 254  3000   810  2190  3203  3601  1.35  1274    20  1.61  3.45  4.47  76.7
   1 SPPI7902 BR    1   44 1985 310  3000   810  2190  3228  4802  1.18  1613    21  1.31  4.39  4.65  67.6
   1 SPPI7902 BR    1   45 1985 338  3000   810  2190  3083  5990  1.06  1288    19  1.45  4.84  4.43  78.7
   1 SPPI7902 BR    1   46 1986   1  3000   810  2190  2426  5496  1.02   405     7  1.72  3.11  4.23  88.4
   1 SPPI7902 BR    1   47 1986  29  3000   810  2190  2218  4037  1.24   747    16  2.16  3.25  4.15  92.3
   1 SPPI7902 BR    1   48 1986  57  3000   810  2190  2549  4154  1.43  1500    23  1.54  3.70  4.35  82.7
   1 SPPI7902 BR    1   49 1986  85  3000   810  2190  2857  4267  1.46  1179    19  1.58  3.64  4.38  81.2
   1 SPPI7902 BR    1   50 1986 141  3000   810  2190  3276  4074  1.70  1617    24  1.46  3.11  4.64  67.8
   1 SPPI7902 BR    1   51 1986 197  3000   810  2190  3378  3895  1.62  1075    21  1.95  2.82  4.44  78.2
   1 SPPI7902 BR    1   52 1986 253  3000   810  2190  3848  4241  1.50  1655    27  1.61  3.57  4.53  73.4
   1 SPPI7902 BR    1   53 1986 309  3000   810  2190  3827  5184  1.31  2027    26  1.26  4.17  4.65  67.3
   1 SPPI7902 BR    1   54 1986 337  3000   810  2190  3369  5525  1.28  1018    15  1.47  3.29  4.33  83.4
   1 SPPI7902 BR    1   55 1986 365  3000   810  2190  3135  6163  1.31  1384    22  1.60  4.19  4.47  76.5
   1 SPPI7902 BR    1   56 1987  28  3000   810  2190  3077  6738  1.31  1897    29  1.51  4.07  4.44  77.8
   1 SPPI7902 BR    1   57 1987  56  3000   810  2190  2894  6992  1.30   975    14  1.43  3.40  4.33  83.6
