*DSSAT Cropping System Model Ver. 4.8.0.027   -release    FEB 01, 2024; 15:59:10

 Unit  Filename
  501  OPCLR
   21  FILEIO
   14  BATCH 
   25  DSPRO
  502  LUNMFW
  116  OUTINFO
  503  SIMCDE
   22  DTACDE
  504  RUNLST
   11  FILEW
   94  OUTO
  120  WARNING.OUT
   10  FILEC
  505  OUTMOB
   39  OUTG
   40  OUTPN
   38  OUTPC
  506  OUTDRM
  507  OUTSTOR
  508  OUTS
   90  SEVAL
  509  FILECO2
   52  OUTWTH
  510  FILEF
   13  FILESS
   44  SoilOrg.OUT
   99  SCBAL
  511  SCBAL2
   64  N2O.OUT   
   63  GHG.OUT   
   43  SoilNi.OUT
   55  Mulch.OUT
  109  SWBAL
   48  OUTWAT
   33  ETPhot.OUT
   32  OUTET
  512  MOWFILE
  113  FORHARV
